YEAR,STATE,XX,REP_V,DEM_V,OTH_V,TOT_V,REP_S,DEM_S,OTH_S,TOT_S,VOTE_%,SEAT_%
2002,Alabama,AL,760492,643350,12934,1416776,5,2,0,7,0.5417,0.7143
2002,Alaska,AK,169685,39357,18683,227725,1,0,0,1,0.8117,1.0000
2002,Arizona,AZ,681922,472135,40343,1194400,6,2,0,8,0.5909,0.7500
2002,Arkansas,AR,344918,452719,0,797637,1,3,0,4,0.4324,0.2500
2002,California,CA,3280888,3772073,232960,7285921,20,33,0,53,0.4652,0.3774
2002,Colorado,CO,752998,589463,54627,1397088,5,2,0,7,0.5609,0.7143
2002,Connecticut,CT,465982,509036,14291,989309,3,2,0,5,0.4779,0.6000
2002,Delaware,DE,164605,61011,2789,228405,1,0,0,1,0.7296,1.0000
2002,Florida,FL,2914702,2244138,20334,5179174,18,7,0,25,0.5650,0.7200
2002,Georgia,GA,1201562,876693,0,2078255,8,5,0,13,0.5782,0.6154
2002,Hawaii,HI,116693,232344,10947,359984,0,2,0,2,0.3343,0.0000
2002,Idaho,ID,256348,138038,10637,405023,2,0,0,2,0.6500,1.0000
2002,Illinois,IL,1724058,1823070,31412,3578540,10,9,0,19,0.4860,0.5263
2002,Indiana,IN,840694,640568,40091,1521353,6,3,0,9,0.5676,0.6667
2002,Iowa,IA,546382,453550,12690,1012622,4,1,0,5,0.5464,0.8000
2002,Kansas,KS,536026,341329,15368,892723,3,1,0,4,0.6110,0.7500
2002,Kentucky,KY,708936,406937,4392,1120265,4,2,0,6,0.6353,0.6667
2002,Louisiana,LA,727127,584303,6893,1318323,5,2,0,7,0.5545,0.7143
2002,Maine,ME,205780,289514,0,495294,0,2,0,2,0.4155,0.0000
2002,Maryland,MD,752911,904250,1952,1659113,2,6,0,8,0.4543,0.2500
2002,Massachusetts,MA,721120,1607356,58107,2386583,0,10,0,10,0.3097,0.0000
2002,Michigan,MI,1605672,1534415,48843,3188930,9,6,0,15,0.5113,0.6000
2002,Minnesota,MN,1029612,1097911,74115,2201638,4,4,0,8,0.4839,0.5000
2002,Mississippi,MS,338817,320157,18662,677636,2,2,0,4,0.5142,0.5000
2002,Missouri,MO,985905,829177,38481,1853563,5,4,0,9,0.5432,0.5556
2002,Montana,MT,214100,108233,8988,331321,1,0,0,1,0.6642,1.0000
2002,Nebraska,NE,386869,174109,5254,566232,3,0,0,3,0.6896,1.0000
2002,Nevada,NV,301100,171160,29593,501853,2,1,0,3,0.6376,0.6667
2002,New Hampshire,NH,254797,175905,12741,443443,2,0,0,2,0.5916,1.0000
2002,New Jersey,NJ,986184,1030204,32348,2048736,6,7,0,13,0.4891,0.4615
2002,New Mexico,NM,228022,262071,82,490175,2,1,0,3,0.4653,0.6667
2002,New York,NY,1850701,2182820,940460,4973981,10,19,0,29,0.4588,0.3448
2002,North Carolina,NC,1209033,1091950,34847,2335830,7,6,0,13,0.5254,0.5385
2002,North Dakota,ND,109957,121073,0,231030,0,1,0,1,0.4759,0.0000
2002,Ohio,OH,1775555,1385419,50854,3211828,12,6,0,18,0.5617,0.6667
2002,Oklahoma,OK,546832,455444,15209,1017485,4,1,0,5,0.5456,0.8000
2002,Oregon,OR,528997,676920,34398,1240315,1,4,0,5,0.4387,0.2000
2002,Pennsylvania,PA,1948512,1651814,8713,3609039,12,7,0,19,0.5412,0.6316
2002,Rhode Island,RI,97137,224676,6930,328743,0,2,0,2,0.3018,0.0000
2002,South Carolina,SC,622133,462861,8043,1093037,4,2,0,6,0.5734,0.6667
2002,South Dakota,SD,180023,153551,3117,336691,1,0,0,1,0.5397,1.0000
2002,Tennessee,TN,824349,767652,25563,1617564,4,5,0,9,0.5178,0.4444
2002,Texas,TX,2521730,2239232,51790,4812752,15,17,0,32,0.5297,0.4688
2002,Utah,UT,321986,221401,13766,557153,2,1,0,3,0.5926,0.6667
2002,Vermont,VT,72813,0,152442,225255,0,0,1,1, , 
2002,Virginia,VA,1078212,731658,5374,1815244,8,3,0,11,0.5957,0.7273
2002,Washington,WA,778922,907440,52754,1739116,3,6,0,9,0.4619,0.3333
2002,West Virginia,WV,183051,264124,0,447175,1,2,0,3,0.4093,0.3333
2002,Wisconsin,WI,955326,864054,20024,1839404,4,4,0,8,0.5251,0.5000
2002,Wyoming,WY,110229,65961,5962,182152,1,0,0,1,0.6256,1.0000
