STATE,XX,DISTRICT,REP_V,DEM_V,OTH_V,TOT_V,REP_S,DEM_S,OTH_S
Alabama,AL,4th,139705,0,21396,161101,1,0,0
Alabama,AL,6th,178171,0,20175,198346,1,0,0
Alabama,AL,7th,0,153735,12574,166309,0,1,0
Alaska,AK,n/a,0,0,0,0,0,0,0
Arizona,AZ,n/a,0,0,0,0,0,0,0
Arkansas,AR,2nd,0,142752,10874,153626,0,1,0
Arkansas,AR,3rd,141478,0,1577,143055,1,0,0
California,CA,10th,0,126390,40807,167197,0,1,0
California,CA,49th,94594,0,27903,122497,1,0,0
Colorado,CO,n/a,0,0,0,0,0,0,0
Connecticut,CT,n/a,0,0,0,0,0,0,0
Delaware,DE,n/a,0,0,0,0,0,0,0
Florida,FL,4th,171152,0,509,171661,1,0,0
Florida,FL,10th,,,,,1,0,0
Florida,FL,11th,,,,,0,1,0
Florida,FL,12th,,,,,1,0,0
Florida,FL,14th,,,,,1,0,0
Florida,FL,16th,176171,0,47169,223340,1,0,0
Florida,FL,17th,0,113749,73,113822,0,1,0
Florida,FL,20th,,,,,0,1,0
Florida,FL,21st,,,,,1,0,0
Georgia,GA,2nd,0,102925,0,102925,0,1,0
Georgia,GA,5th,0,116259,0,116259,0,1,0
Georgia,GA,10th,129242,0,0,129242,1,0,0
Hawaii,HI,n/a,0,0,0,0,0,0,0
Idaho,ID,n/a,0,0,0,0,0,0,0
Illinois,IL,2nd,0,156042,0,156042,0,1,0
Illinois,IL,18th,192567,0,0,192567,1,0,0
Indiana,IN,n/a,0,0,0,0,0,0,0
Iowa,IA,n/a,0,0,0,0,0,0,0
Kansas,KS,1st,189976,0,18585,208561,1,0,0
Kentucky,KY,6th,115622,0,45066,160688,1,0,0
Louisiana,LA,1st,174614,0,5956,180570,1,0,0
Louisiana,LA,3rd,130323,0,20019,150342,1,0,0
Louisiana,LA,6th,146932,0,27898,174830,1,0,0
Louisiana,LA,7th,0,138659,21051,159710,0,1,0
Maine,ME,n/a,0,0,0,0,0,0,0
Maryland,MD,n/a,0,0,0,0,0,0,0
Massachusetts,MA,2nd,0,153387,55111,208498,0,1,0
Massachusetts,MA,3rd,0,155697,56607,212304,0,1,0
Massachusetts,MA,4th,0,166125,55084,221209,0,1,0
Massachusetts,MA,7th,0,170968,65045,236013,0,1,0
Massachusetts,MA,8th,0,111861,43443,155304,0,1,0
