STATE,XX,REP_V,DEM_V,OTH_V,TOT_V
Alabama,AL,1033,65238,-14481,51790
Alabama,AL,4904,65238,-22202,47940
Alabama,AL,79740,0,-23455,56285
Alabama,AL,0,91179,-29166,62013
Alaska,AK,0,0,0,0
Arizona,AZ,0,0,0,0
Arkansas,AR,147645,63276,0,210921
California,CA,61434,46847,-18281,90000
California,CA,61434,53747,-23314,91867
California,CA,0,64744,-37953,26791
California,CA,3146,61434,-50131,14449
Colorado,CO,0,89605,-53928,35677
Colorado,CO,0,108570,-52979,55591
Connecticut,CT,0,0,0,0
Delaware,DE,0,0,0,0
Florida,FL,0,97060,-1066,95994
Florida,FL,0,76624,-31,76593
Florida,FL,0,90136,-46476,43660
Florida,FL,24957,73610,-47204,51363
Florida,FL,73610,22291,-27218,68683
Florida,FL,0,103977,-42001,61976
Florida,FL,73610,71041,-3,144648
Florida,FL,58788,73610,-23,132375
Florida,FL,73610,14991,-187,88414
Florida,FL,39439,73610,-25,113024
Georgia,GA,0,85565,0,85565
Hawaiʻi,HI,0,0,0,0
Idaho,ID,0,0,0,0
Illinois,IL,69639,73003,-11476,131166
Illinois,IL,69639,20329,-20728,69240
Illinois,IL,78518,0,-49,78469
Indiana,IN,0,0,0,0
Iowa,IA,0,0,0,0
Kansas,KS,0,0,0,0
Kentucky,KY,0,91855,-25581,66274
Louisiana,LA,62604,146077,0,208681
Louisiana,LA,2631,62604,0,24721
Louisiana,LA,65484,0,-30687,34797
Maine,ME,0,0,0,0
Maryland,MD,0,0,0,0
Massachusetts,MA,85942,3862,-57197,32607
Massachusetts,MA,91314,0,-65505,25809
Massachusetts,MA,90661,0,-68422,22239
Massachusetts,MA,85942,56501,-58692,83751
Michigan,MI,0,0,0,0
Minnesota,MN,0,0,0,0
Mississippi,MS,0,0,0,0
Missouri,MO,0,0,0,0
Montana,MT,0,0,0,0
Nebraska,NE,0,0,0,0
Nevada,NV,0,0,0,0
New Hampshire,NH,0,0,0,0
New Jersey,NJ,0,0,0,0
New Mexico,NM,0,0,0,0
New York,NY,67731,40844,-58428,50147
North Carolina,NC,0,73924,-13366,60558
North Carolina,NC,0,83883,-19358,64525
North Dakota,ND,0,0,0,0
Ohio,OH,76170,0,-36516,39654
Oklahoma,OK,0,59068,-21390,37678
Oregon,OR,0,0,0,0
Pennsylvania,PA,77152,0,-3673,73479
Pennsylvania,PA,11533,68187,-24877,54843
Pennsylvania,PA,0,79029,0,79029
Pennsylvania,PA,68187,11570,0,79757
Rhode Island,RI,0,0,0,0
South Carolina,SC,8080,67935,-38615,37400
South Dakota,SD,0,0,0,0
Tennessee,TN,0,67641,-20,67621
Tennessee,TN,0,80209,-22331,57878
Tennessee,TN,-76113,156766,-36,80617
Texas,TX,69810,0,-15939,53871
Texas,TX,0,95436,-30056,65380
Texas,TX,0,100221,-21368,78853
Texas,TX,87269,0,-37203,50066
Texas,TX,62457,39164,-13878,87743
Texas,TX,0,72994,-15579,57415
Texas,TX,62457,38247,-15087,85617
Texas,TX,62457,22630,-15156,69931
Texas,TX,62457,36571,-9798,89230
Utah,UT,0,0,0,0
Vermont,VT,0,0,0,0
Virginia,VA,70755,27569,-3226,95098
Virginia,VA,81337,0,-2108,79229
Virginia,VA,0,0,0,0
Virginia,VA,11758,70755,-1145,81368
Virginia,VA,0,102350,-44820,57530
Washington,WA,82916,0,-72339,10577
West Virginia,WV,73275,0,-23797,49478
West Virginia,WV,67294,10213,-13979,63528
Wisconsin,WI,0,0,0,0
Wyoming,WY,0,0,0,0
