STATE,XX,REP_V,DEM_V,OTH_V,TOT_V,REP_S,DEM_S,OTH_S,TOT_S,VOTE_%,SEAT_%
Alabama,AL,931049,641244,1044,1573337,6,1,0,7,0.5922,0.8571
Alaska,AK,175384,77606,1345,254335,1,0,0,1,0.6932,1.0000
Arizona,AZ,900510,711837,85798,1698145,5,3,0,8,0.5585,0.6250
Arkansas,AR,435422,317975,20728,774125,3,1,0,4,0.5779,0.7500
California,CA,4195494,5281458,301601,9778553,19,34,0,53,0.4427,0.3585
Colorado,CO,884032,800900,78220,1763152,4,3,0,7,0.5247,0.5714
Connecticut,CT,457976,634947,45279,1138202,0,5,0,5,0.4190,0.0000
Delaware,DE,125442,173543,6651,305636,0,1,0,1,0.4196,0.0000
Florida,FL,3219159,2188634,75642,5483435,19,6,0,25,0.5953,0.7600
Georgia,GA,1528142,1169687,3,2697832,8,5,0,13,0.5664,0.6154
Hawaiʻi,HI,129127,226430,4564,360121,0,2,0,2,0.3632,0.0000
Idaho,ID,263699,150884,32561,447144,2,0,0,2,0.6361,1.0000
Illinois,IL,1720016,1876316,99827,3696159,11,8,0,19,0.4783,0.5789
Indiana,IN,972671,679462,95587,1747720,6,3,0,9,0.5887,0.6667
Iowa,IA,597414,479874,29303,1106591,2,3,0,5,0.5546,0.4000
Kansas,KS,528136,274992,32401,835529,4,0,0,4,0.6576,1.0000
Kentucky,KY,844369,506319,3610,1354298,4,2,0,6,0.6251,0.6667
Louisiana,LA,799931,416897,16061,1232889,6,1,0,7,0.6574,0.8571
Maine,ME,248170,316156,42,564368,0,2,0,2,0.4398,0.0000
Maryland,MD,674246,1104056,47170,1825472,2,6,0,8,0.3792,0.2500
Massachusetts,MA,877858,1363055,77526,2318439,0,10,0,10,0.3917,0.0000
Michigan,MI,1671707,1415212,107982,3194901,9,6,0,15,0.5415,0.6000
Minnesota,MN,970741,1002026,117824,2090591,4,4,0,8,0.4921,0.5000
Mississippi,MS,423579,350695,14275,788549,3,1,0,4,0.5471,0.7500
Missouri,MO,1103290,777803,61687,1942780,6,3,0,9,0.5865,0.6667
Montana,MT,217696,121954,20691,360341,1,0,0,1,0.6409,1.0000
Nebraska,NE,327986,137524,20036,485546,3,0,0,3,0.7046,1.0000
Nevada,NV,357369,317835,27584,702788,2,1,0,3,0.5293,0.6667
New Hampshire,NH,230265,200563,18959,449787,2,0,0,2,0.5345,1.0000
New Jersey,NJ,1055299,1024730,41555,2121584,6,7,0,13,0.5073,0.4615
New Mexico,NM,288885,307766,0,596651,1,2,0,3,0.4842,0.3333
New York,NY,1684257,2678445,481151,4843853,8,21,0,29,0.3861,0.2759
North Carolina,NC,1440913,1204635,17001,2662549,6,7,0,13,0.5447,0.4615
North Dakota,ND,129802,106542,0,236344,1,0,0,1,0.5492,1.0000
Ohio,OH,2053075,1611112,161087,3825274,13,5,0,18,0.5603,0.7222
Oklahoma,OK,658664,346369,5795,1010828,4,1,0,5,0.6554,0.8000
Oregon,OR,657007,733369,38980,1429356,1,4,0,5,0.4725,0.2000
Pennsylvania,PA,2098407,1882202,40054,4020663,12,7,0,19,0.5272,0.6316
Rhode Island,RI,126951,185711,22822,335484,0,2,0,2,0.4060,0.0000
South Carolina,SC,753932,537323,48934,1340189,5,1,0,6,0.5839,0.8333
South Dakota,SD,153703,146589,19134,319426,1,0,0,1,0.5118,1.0000
Tennessee,TN,955078,541527,62524,1559129,7,2,0,9,0.6382,0.7778
Texas,TX,3062381,1770256,106761,4939398,23,9,0,32,0.6337,0.7188
Utah,UT,390969,218236,31290,640495,2,1,0,3,0.6418,0.6667
Vermont,VT,76403,154006,8112,238521,0,1,0,1,0.3316,0.0000
Virginia,VA,1200199,971797,52960,2224956,8,3,0,11,0.5526,0.7273
Washington,WA,1234873,1296502,0,2531375,4,5,0,9,0.4878,0.4444
West Virginia,WV,283085,227857,3431,514373,2,1,0,3,0.5540,0.6667
Wisconsin,WI,1165761,938690,36031,2140482,5,3,0,8,0.5540,0.6250
Wyoming,WY,131661,45768,13393,190822,1,0,0,1,0.7420,1.0000
