YEAR,STATE,XX,REP_V,DEM_V,OTH_V,TOT_V,REP_S,DEM_S,OTH_S,TOT_S,VOTE_%,SEAT_%
2002,Alabama,AL,760492,643350,12934,1416776,5,2,0,7,0.458278,0.285714
2002,Alaska,AK,169685,39357,18683,227725,1,0,0,1,0.188273,0.000000
2002,Arizona,AZ,681922,472135,40343,1194400,6,2,0,8,0.409109,0.250000
2002,Arkansas,AR,344918,452719,0,797637,1,3,0,4,0.567575,0.750000
2002,California,CA,3280888,3772073,232960,7285921,20,33,0,53,0.534821,0.622642
2002,Colorado,CO,752998,589463,54627,1397088,5,2,0,7,0.439091,0.285714
2002,Connecticut,CT,465982,509036,14291,989309,3,2,0,5,0.522079,0.400000
2002,Delaware,DE,164605,61011,2789,228405,1,0,0,1,0.270420,0.000000
2002,Florida,FL,2914702,2244138,20334,5179174,18,7,0,25,0.435008,0.280000
2002,Georgia,GA,1201562,876693,0,2078255,8,5,0,13,0.421841,0.384615
2002,Hawaii,HI,116693,232344,10947,359984,0,2,0,2,0.665672,1.000000
2002,Idaho,ID,256348,138038,10637,405023,2,0,0,2,0.350007,0.000000
2002,Illinois,IL,1724058,1823070,31412,3578540,10,9,0,19,0.513957,0.473684
2002,Indiana,IN,840694,640568,40091,1521353,6,3,0,9,0.432447,0.333333
2002,Iowa,IA,546382,453550,12690,1012622,4,1,0,5,0.453581,0.200000
2002,Kansas,KS,536026,341329,15368,892723,3,1,0,4,0.389043,0.250000
2002,Kentucky,KY,708936,406937,4392,1120265,4,2,0,6,0.364680,0.333333
2002,Louisiana,LA,727127,584303,6893,1318323,5,2,0,7,0.445546,0.285714
2002,Maine,ME,205780,289514,0,495294,0,2,0,2,0.584530,1.000000
2002,Maryland,MD,752911,904250,1952,1659113,2,6,0,8,0.545662,0.750000
2002,Massachusetts,MA,721120,1607356,58107,2386583,0,10,0,10,0.690304,1.000000
2002,Michigan,MI,1605672,1534415,48843,3188930,9,6,0,15,0.488654,0.400000
2002,Minnesota,MN,1029612,1097911,74115,2201638,4,4,0,8,0.516051,0.500000
2002,Mississippi,MS,338817,320157,18662,677636,2,2,0,4,0.485842,0.500000
2002,Missouri,MO,985905,829177,38481,1853563,5,4,0,9,0.456826,0.444444
2002,Montana,MT,214100,108233,8988,331321,1,0,0,1,0.335780,0.000000
2002,Nebraska,NE,386869,174109,5254,566232,3,0,0,3,0.310367,0.000000
2002,Nevada,NV,301100,171160,29593,501853,2,1,0,3,0.362427,0.333333
2002,New Hampshire,NH,254797,175905,12741,443443,2,0,0,2,0.408415,0.000000
2002,New Jersey,NJ,986184,1030204,32348,2048736,6,7,0,13,0.510916,0.538462
2002,New Mexico,NM,228022,262071,82,490175,2,1,0,3,0.534737,0.333333
2002,New York,NY,1850701,2182820,940460,4973981,10,19,0,29,0.541170,0.655172
2002,North Carolina,NC,1209033,1091950,34847,2335830,7,6,0,13,0.474558,0.461538
2002,North Dakota,ND,109957,121073,0,231030,0,1,0,1,0.524057,1.000000
2002,Ohio,OH,1775555,1385419,50854,3211828,12,6,0,18,0.438289,0.333333
2002,Oklahoma,OK,546832,455444,15209,1017485,4,1,0,5,0.454410,0.200000
2002,Oregon,OR,528997,676920,34398,1240315,1,4,0,5,0.561332,0.800000
2002,Pennsylvania,PA,1948512,1651814,8713,3609039,12,7,0,19,0.458796,0.368421
2002,Rhode Island,RI,97137,224676,6930,328743,0,2,0,2,0.698157,1.000000
2002,South Carolina,SC,622133,462861,8043,1093037,4,2,0,6,0.426602,0.333333
2002,South Dakota,SD,180023,153551,3117,336691,1,0,0,1,0.460321,0.000000
2002,Tennessee,TN,824349,767652,25563,1617564,4,5,0,9,0.482193,0.555556
2002,Texas,TX,2521725,2239227,51790,4812742,15,17,0,32,0.470332,0.531250
2002,Utah,UT,321986,221401,13766,557153,2,1,0,3,0.407446,0.333333
2002,Vermont,VT,72813,0,152442,225255,0,0,1,1,0.000000,0.000000
2002,Virginia,VA,1078212,731658,5374,1815244,8,3,0,11,0.404260,0.272727
2002,Washington,WA,778922,907440,52754,1739116,3,6,0,9,0.538105,0.666667
2002,West Virginia,WV,183051,264124,0,447175,1,2,0,3,0.590650,0.666667
2002,Wisconsin,WI,955326,864054,20024,1839404,4,4,0,8,0.474917,0.500000
2002,Wyoming,WY,110229,65961,5962,182152,1,0,0,1,0.374374,0.000000
