STATE,XX,REP_V,DEM_V,OTH_V,TOT_V,REP_S,DEM_S,OTH_S,TOT_S,VOTE_%,SEAT_%
Alabama,AL,1512759,834775,1082,2348616,6,1,0,7,0.6444,0.8571
Alaska,AK,192126,159856,1183,353165,1,0,0,1,0.5458,1.0000
Arizona,AZ,1638516,1629318,415,3268249,4,5,0,9,0.5014,0.4444
Arkansas,AR,828266,432312,20645,1281223,4,0,0,4,0.6571,1.0000
California,CA,6486672,11137763,0,17624435,11,42,0,53,0.3680,0.2075
Colorado,CO,1378248,1679052,107650,3164950,3,4,0,7,0.4508,0.4286
Connecticut,CT,676650,1022792,73485,1772927,0,5,0,5,0.3982,0.0000
Delaware,DE,196392,281382,10496,488270,0,1,0,1,0.4111,0.0000
Florida,FL,5469164,5073146,46678,10588988,16,11,0,27,0.5188,0.5926
Georgia,GA,2490396,2393089,126,4883611,8,6,0,14,0.5100,0.5714
Hawaiʻi,HI,155215,354762,69807,579784,0,2,0,2,0.3044,0.0000
Idaho,ID,561405,255531,32973,849909,2,0,0,2,0.6872,1.0000
Illinois,IL,2516145,3400740,36076,5952961,5,13,0,18,0.4252,0.2778
Indiana,IN,1738745,1194901,62798,2996444,7,2,0,9,0.5927,0.7778
Iowa,IA,859418,762271,78579,1700268,3,1,0,4,0.5300,0.7500
Kansas,KS,775898,557258,25797,1358953,3,1,0,4,0.5820,0.7500
Kentucky,KY,1363964,735419,16512,2115895,5,1,0,6,0.6497,0.8333
Louisiana,LA,1169788,727402,49945,1947135,5,1,0,6,0.6166,0.8333
Maine,ME,340236,468978,19091,828305,0,2,0,2,0.4205,0.0000
Maryland,MD,1028150,1912740,13280,2954170,1,7,0,8,0.3496,0.1250
Massachusetts,MA,1895553,1854830,95674,3846057,0,9,0,9,0.5054,0.0000
Michigan,MI,2617881,2688527,116732,5423140,7,7,0,14,0.4933,0.5000
Minnesota,MN,1474820,1554373,164616,3193809,4,4,0,8,0.4869,0.5000
Mississippi,MS,806832,530716,0,1337548,3,1,0,4,0.6032,0.7500
Missouri,MO,1723982,1172135,77304,2973421,6,2,0,8,0.5953,0.7500
Montana,MT,339169,262340,0,601509,1,0,0,1,0.5639,1.0000
Nebraska,NE,585234,326018,30046,941298,3,0,0,3,0.6422,1.0000
Nevada,NV,633827,665526,56254,1355607,1,3,0,4,0.4878,0.2500
New Hampshire,NH,354045,413895,19162,787102,0,2,0,2,0.4610,0.0000
New Jersey,NJ,1843047,2539128,50748,4432923,2,10,0,12,0.4206,0.1667
New Mexico,NM,407786,495781,117,903684,1,2,0,3,0.4513,0.3333
New York,NY,2886505,4723841,1099854,8710200,8,19,0,27,0.3793,0.2963
North Carolina,NC,2777675,2660535,33374,5471584,8,5,0,13,0.5108,0.6154
North Dakota,ND,245229,97970,12399,355598,1,0,0,1,0.7145,1.0000
Ohio,OH,3252887,2451500,57153,5761540,12,4,0,16,0.5702,0.7500
Oklahoma,OK,1044175,475731,31477,1551383,5,0,0,5,0.6870,1.0000
Oregon,OR,966786,1285339,56064,2308189,1,4,0,5,0.4293,0.2000
Pennsylvania,PA,3432595,3346712,0,6779307,9,9,0,18,0.5063,0.5000
Rhode Island,RI,189261,339276,577,529114,0,2,0,2,0.3581,0.0000
South Carolina,SC,1412684,1076799,15959,2505442,6,1,0,7,0.5675,0.8571
South Dakota,SD,321984,137993,0,459977,1,0,0,1,0.7000,1.0000
Tennessee,TN,1793321,1105537,50938,2949796,7,2,0,9,0.6186,0.7778
Texas,TX,5926712,4896673,270241,11093626,23,13,0,36,0.5476,0.6389
Utah,UT,873347,505946,52939,1432232,4,0,0,4,0.6332,1.0000
Vermont,VT,95830,238827,36311,370968,0,1,0,1,0.2864,0.0000
Virginia,VA,2059015,2375359,16404,4450778,4,7,0,11,0.4643,0.3636
Washington,WA,1669283,2340356,7011,4016650,3,7,0,10,0.4163,0.3000
West Virginia,WV,514268,246903,214,761385,3,0,0,3,0.6756,1.0000
Wisconsin,WI,1661399,1566671,9981,3238051,5,3,0,8,0.5147,0.6250
Wyoming,WY,185732,66576,26195,278503,1,0,0,1,0.7361,1.0000
